PSQI,K10,GPA,,,,,
8,26,3.3,,,,,
16,39,3.3,,,,,
8,26,3.3,,,,,
6,23,3.0,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
8,25,3.3,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
3,12,3.1,,,,,
9,27,3.4,,,,,
8,26,3.3,,,,,
6,34,3.3,,,,,
5,20,3.3,,,,,
10,30,3.0,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
8,16,3.7,,,,,
8,15,3.7,,,,,
10,40,2.8,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
7,23,3.4,,,,,
8,26,3.3,,,,,
11,33,3.3,,,,,
9,34,2.3,,,,,
8,26,3.3,,,,,
6,17,3.9,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
8,29,3.3,,,,,
8,26,3.3,,,,,
9,27,3.1,,,,,
5,40,2.8,,,,,
8,26,3.3,,,,,
13,47,3.6,,,,,
4,28,3.1,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
11,18,3.6,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
8,26,3.3,,,,,
2,12,3.3,,,,,
5,19,3.3,,,,,
6,25,3.3,,,,,
8,17,3.3,,,,,
4,12,3.1,,,,,
12,33,3.8,,,,,
